OBJECTID,Borough,Latitude,Longitude,Public Area
104,STATEN ISLAND,40.63300463,-74.12002728,TOW TRUCK COMPANY
105,STATEN ISLAND,40.61149345,-74.06325563,STATE HISTORIC PLACE
106,STATEN ISLAND,40.50821,-74.236487,OUTDOOR STORAGE
107,STATEN ISLAND,40.642968,-74.076388,COURTHOUSE
108,STATEN ISLAND,40.60641151,-74.14186022,NATURE AREA
109,STATEN ISLAND,40.626864,-74.128494,TEXTILES
110,STATEN ISLAND,40.60981496,-74.16348252,SUMMER ONLY FEEDING SITE
111,STATEN ISLAND,40.63660846,-74.13247581,ELEMENTARY SCHOOL - PUBLIC
112,STATEN ISLAND,40.64361076,-74.07986992,SUMMER ONLY FEEDING SITE
113,STATEN ISLAND,40.59255,-74.134517,VEHICLE MAINTENANCE
114,STATEN ISLAND,40.574201,-74.117605,PUBLIC PARKING
115,STATEN ISLAND,40.60691255,-74.1191737,NYCHA COMMUNITY CENTER - COMMUNITY CENTER - CORNERSTONE
116,STATEN ISLAND,40.64356867,-74.07984294,PLAYGROUND
117,STATEN ISLAND,40.586258,-74.148674,SCHOOL BASED HOSPITAL EXTENSION CLINIC
118,STATEN ISLAND,40.58761723,-74.10085282,SATELLITE SITE FOR STUDENTS WITH DISABILITIES
119,STATEN ISLAND,40.639118,-74.130247,RAIL LINE
120,STATEN ISLAND,40.50881938,-74.24401098,ELEMENTARY SCHOOL - PUBLIC
121,STATEN ISLAND,40.6410907,-74.08171819,NATURE AREA
122,STATEN ISLAND,40.59793367,-74.07013453,ELEMENTARY SCHOOL - PUBLIC
123,STATEN ISLAND,40.53673502,-74.21884504,SUMMER ONLY FEEDING SITE
124,STATEN ISLAND,40.63029806,-74.16533196,SUMMER ONLY FEEDING SITE
125,STATEN ISLAND,40.64277,-74.077256,OFFICE
126,STATEN ISLAND,40.63243573,-74.08126233,STATE HISTORIC PLACE
127,STATEN ISLAND,40.634213,-74.150252,RAIL LINE
128,STATEN ISLAND,40.55114968,-74.14921235,PUBLIC PARKING
129,STATEN ISLAND,40.53405756,-74.19323522,PUBLIC LIBRARY
130,STATEN ISLAND,40.63095171,-74.09126516,TRIANGLE/PLAZA
131,STATEN ISLAND,40.50953037,-74.24410519,PUBLIC LIBRARY
132,STATEN ISLAND,40.60300965,-74.14034336,USDA COMMUNITY ELIGIBILITY OPTION
133,STATEN ISLAND,40.63619583,-74.12827199,TOW TRUCK COMPANY
134,STATEN ISLAND,40.59666529,-74.11986246,STATE FOREST
135,STATEN ISLAND,40.63798919,-74.12390126,TOW TRUCK COMPANY
136,STATEN ISLAND,40.552264,-74.186405,PUMPING STATION
137,STATEN ISLAND,40.633699,-74.162709,RAIL LINE
138,STATEN ISLAND,40.62880953,-74.12353779,STATE HISTORIC PLACE
139,STATEN ISLAND,40.6424,-74.075958,OFFICE
140,STATEN ISLAND,40.607609,-74.088931,OUTDOOR PARKING - AGENCY VEHICLES
141,STATEN ISLAND,40.6424,-74.075958,OFFICE
142,STATEN ISLAND,40.52543495,-74.18494128,NATURE AREA
143,STATEN ISLAND,40.62563926,-74.17481359,TOW TRUCK COMPANY
144,STATEN ISLAND,40.634324,-74.147362,RAIL LINE
145,STATEN ISLAND,40.642968,-74.076388,OFFICE
146,STATEN ISLAND,40.559928,-74.166319,TEXTILES
147,STATEN ISLAND,40.60497656,-74.0790186,NATURE AREA
148,STATEN ISLAND,40.64368163,-74.11214355,STATE HISTORIC PLACE
149,STATEN ISLAND,40.54703087,-74.15179769,JOINTLY OPERATED PLAYGROUND
150,STATEN ISLAND,40.557691,-74.200776,SOLID WASTE LANDFILL
151,STATEN ISLAND,40.638396,-74.125608,SLUDGE DE-WATERING FACILITY
152,STATEN ISLAND,40.5911601,-74.13105937,NATURE AREA
153,STATEN ISLAND,40.52571794,-74.2159438,CITY COUNCIL AWARDS
154,STATEN ISLAND,40.63047002,-74.09706503,SUMMER ONLY FEEDING SITE
155,STATEN ISLAND,40.63111202,-74.07717242,TRAIN & EARN
156,STATEN ISLAND,40.63503341,-74.13220478,ADULT LITERACY - ADULT BASIC EDUCATION/HIGH SCHOOL EQUIVALENCY
157,STATEN ISLAND,40.63857748,-74.07744549,GED-ALTERNATIVE HIGH SCHOOL EQUIVALENCY PREP PROGRAMS
158,STATEN ISLAND,40.57994921,-74.19318138,COMPOSTING
159,STATEN ISLAND,40.60285061,-74.13772001,ADULT LITERACY - ENGLISH FOR SPEAKERS OF OTHER LANGUAGES
160,STATEN ISLAND,40.642042,-74.077338,AGENCY OFFICE
161,STATEN ISLAND,40.63785769,-74.09787913,COMPASS ELEMENTARY
162,STATEN ISLAND,40.55216195,-74.1695196,DOE UNIVERSAL PRE-K
163,STATEN ISLAND,40.56578083,-74.18361268,CAREGIVER SERVICES
164,STATEN ISLAND,40.63570748,-74.10590224,OUTPATIENT CLINIC
165,STATEN ISLAND,40.63788,-74.150094,ASPHALT PLANT
166,STATEN ISLAND,40.61304452,-74.11759655,SCHOOL BASED CHILD CARE - PRESCHOOL
167,STATEN ISLAND,40.62961847,-74.07372225,COMMERCIAL GARAGE
168,STATEN ISLAND,40.58475966,-74.08604676,OPIOID OUTPATIENT TREATMENT
169,STATEN ISLAND,40.55056,-74.150071,TEXTILES
170,STATEN ISLAND,40.63771426,-74.0802832,FOOD PANTRY
171,STATEN ISLAND,40.64277,-74.077256,OFFICE
172,STATEN ISLAND,40.62623131,-74.07445945,"MULTI-DISCIPLINE, NON-PERFORM"
173,STATEN ISLAND,40.64137412,-74.07426101,STATE HISTORIC PLACE
174,STATEN ISLAND,40.59076339,-74.07655652,EARLY EDUCATION PROGRAM
175,STATEN ISLAND,40.62098626,-74.07265427,"MULTI-DISCIPL, PERF & NON-PERF"
176,STATEN ISLAND,40.63309516,-74.12537623,CHARTER SCHOOL
177,STATEN ISLAND,40.6370343,-74.12754125,WORKFORCE 1 CAREER CENTERS
178,STATEN ISLAND,40.62017891,-74.13120035,STATE HISTORIC PLACE
179,STATEN ISLAND,40.57255045,-74.14308628,SATELLITE SITE FOR STUDENTS WITH DISABILITIES
180,STATEN ISLAND,40.55469921,-74.21784069,RECYCLABLES HANDLING AND RECOVERY
181,STATEN ISLAND,40.64405138,-74.10175503,MUSEUM
182,STATEN ISLAND,40.61660889,-74.08071838,OPPORTUNITY YOUTH: SUPPORTED WORK EXPERIENCE
183,STATEN ISLAND,40.5414287,-74.21828639,ELEMENTARY SCHOOL - PUBLIC
184,STATEN ISLAND,40.64548159,-74.08194315,SCHOOL BASED DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC
185,STATEN ISLAND,40.564484,-74.156534,SOLID WASTE LANDFILL
186,STATEN ISLAND,40.610984,-74.094865,ENRICHED HOUSING PROGRAM
187,STATEN ISLAND,40.591841,-74.087138,TEXTILES
188,STATEN ISLAND,40.62201849,-74.07265995,TOW TRUCK COMPANY
189,STATEN ISLAND,40.60291947,-74.17339118,PRE-SCHOOL FOR STUDENTS WITH DISABILITIES
190,STATEN ISLAND,40.5630346,-74.18049155,SATELLITE SITE FOR STUDENTS WITH DISABILITIES
191,STATEN ISLAND,40.621825,-74.072344,TEXTILES
192,STATEN ISLAND,40.608926,-74.171329,MAINTENANCE
193,STATEN ISLAND,40.605057,-74.083695,ELECTRONICS
194,STATEN ISLAND,40.57150714,-74.14754362,STATE HISTORIC PLACE
195,STATEN ISLAND,40.581618,-74.195437,COMBINED MAINTENANCE/STORAGE FACILITY
196,STATEN ISLAND,40.579272,-74.174708,POLICE STATION
197,STATEN ISLAND,40.64277,-74.077256,OFFICE
198,STATEN ISLAND,40.62936304,-74.07497562,TOW TRUCK COMPANY
199,STATEN ISLAND,40.644977,-74.073981,FERRY LANDING
200,STATEN ISLAND,40.642968,-74.076388,CUSTODIAL
201,STATEN ISLAND,40.63440035,-74.12789599,VDF
202,STATEN ISLAND,40.58187,-74.165866,TEXTILES
203,STATEN ISLAND,40.63637595,-74.08416471,DSNY GARAGE
204,STATEN ISLAND,40.633891,-74.074735,NYCT MAINTENANCE AND OTHER FACILITY
205,STATEN ISLAND,40.60250871,-74.19567046,CONSTRUCTION AND DEMOLITION PROCESSING
206,STATEN ISLAND,40.62827922,-74.11756786,JOINTLY OPERATED PLAYGROUND
207,STATEN ISLAND,40.54846167,-74.17394668,NATURE AREA
208,STATEN ISLAND,40.56625,-74.11127,TEXTILES
209,STATEN ISLAND,0,0,MUSIC
210,STATEN ISLAND,40.63971472,-74.11577108,SUMMER ONLY FEEDING SITE
211,STATEN ISLAND,40.64751851,-74.08346585,ELEMENTARY SCHOOL - PUBLIC
212,STATEN ISLAND,40.63663899,-74.11692156,DOE UNIVERSAL PRE-K
213,STATEN ISLAND,40.62039291,-74.16454339,CITY COUNCIL AWARDS
214,STATEN ISLAND,40.64056657,-74.13807124,TOW TRUCK COMPANY
215,STATEN ISLAND,40.52325059,-74.21570316,EARLY EDUCATION PROGRAM
216,STATEN ISLAND,40.6103306,-74.16058041,DIAGNOSTIC AND TREATMENT CENTER
217,STATEN ISLAND,40.61396909,-74.17693632,EARLY EDUCATION PROGRAM
218,STATEN ISLAND,40.60245944,-74.1628034,EARLY EDUCATION PROGRAM
219,STATEN ISLAND,40.63846606,-74.15954592,STATE HISTORIC PLACE
220,STATEN ISLAND,40.64189313,-74.08544682,ELEMENTARY SCHOOL - PUBLIC
221,STATEN ISLAND,40.61521509,-74.07381435,STATE HISTORIC PLACE
222,STATEN ISLAND,40.645,-74.07333,FERRY LANDING
223,STATEN ISLAND,40.63889128,-74.1032473,MUSIC
224,STATEN ISLAND,40.52549,-74.201197,PUBLIC PARK AND RIDE LOT
225,STATEN ISLAND,40.62827922,-74.11756786,SCHOOL'S OUT NEW YORK CITY (SONYC)
226,STATEN ISLAND,40.53278291,-74.18958412,EARLY EDUCATION PROGRAM
227,STATEN ISLAND,40.62653239,-74.16476748,WASTE TIRE STORAGE
228,STATEN ISLAND,40.61468897,-74.06309139,STATE HISTORIC PLACE
229,STATEN ISLAND,40.57584513,-74.1190697,TOW TRUCK COMPANY
230,STATEN ISLAND,40.6179935,-74.13307502,DOE UNIVERSAL PRE-K
231,STATEN ISLAND,40.583757,-74.161931,COMPOST
232,STATEN ISLAND,40.63985792,-74.12147273,VEHICLE DISMANTLING FACILITY
233,STATEN ISLAND,40.56371742,-74.11824164,EARLY EDUCATION PROGRAM
234,STATEN ISLAND,40.63969439,-74.13715242,SUMMER ONLY FEEDING SITE
235,STATEN ISLAND,40.63570748,-74.10590224,OUTPATIENT CLINIC
236,STATEN ISLAND,40.62653827,-74.15822116,TOW TRUCK COMPANY
237,STATEN ISLAND,40.63482373,-74.08595659,SCHOOL BASED CHILD CARE - PRESCHOOL
238,STATEN ISLAND,40.53949793,-74.21799118,FEEDING SITE
239,STATEN ISLAND,40.59420925,-74.06250492,ADULT HOME
240,STATEN ISLAND,40.60952434,-74.14770589,PRE-K CENTER
241,STATEN ISLAND,40.60981108,-74.16203596,PROGRAMS FOR PEOPLE WITH DISABILITIES
242,STATEN ISLAND,40.62337827,-74.07868364,SOUP KITCHEN
243,STATEN ISLAND,40.56816501,-74.11623477,SUMMER ONLY FEEDING SITE
244,STATEN ISLAND,40.64119281,-74.07647468,MENTAL HYGIENE DROP-IN CENTERS
245,STATEN ISLAND,40.631295,-74.074995,RAIL LINE
246,STATEN ISLAND,40.62070966,-74.09675854,STATE HISTORIC PLACE
247,STATEN ISLAND,40.63479131,-74.13523962,SUMMER ONLY FEEDING SITE
248,STATEN ISLAND,40.56578083,-74.18361268,EARLY EDUCATION PROGRAM
249,STATEN ISLAND,40.64405138,-74.10175503,COMPOSTING
250,STATEN ISLAND,40.54388579,-74.1605174,STATE HISTORIC PLACE
251,STATEN ISLAND,40.62047947,-74.08088476,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC
252,STATEN ISLAND,40.64229109,-74.07748838,"MULTI-DISCIPL, PERF & NON-PERF"
253,STATEN ISLAND,40.637339,-74.075704,FIELD OFFICE-PUBLIC
254,STATEN ISLAND,40.616227,-74.141293,TEXTILES
255,STATEN ISLAND,40.629723,-74.182446,RAIL LINE
256,STATEN ISLAND,40.58728373,-74.10303995,NYCHA COMMUNITY CENTER - SPORTS - BOXING PROGRAM
257,STATEN ISLAND,40.62490971,-74.14259778,FEEDING SITE
258,STATEN ISLAND,40.571915,-74.108778,TEXTILES
259,STATEN ISLAND,40.60285061,-74.13772001,ELEMENTARY SCHOOL - PUBLIC
260,STATEN ISLAND,40.61183309,-74.1131083,STRIP
261,STATEN ISLAND,40.63020232,-74.11604203,COMPOST
262,STATEN ISLAND,40.633884,-74.156527,RAIL LINE
263,STATEN ISLAND,40.58714203,-74.19850911,SUMMER ONLY FEEDING SITE
264,STATEN ISLAND,40.53191862,-74.15810429,HISTORIC HOUSE PARK
265,STATEN ISLAND,40.55614201,-74.14426971,NATURE AREA
266,STATEN ISLAND,40.64277,-74.077256,OFFICE
267,STATEN ISLAND,40.63758512,-74.13110435,PUBLIC LIBRARY
268,STATEN ISLAND,40.6060603,-74.10927742,NATURE AREA
269,STATEN ISLAND,40.633605,-74.165696,RAIL LINE
270,STATEN ISLAND,40.63447797,-74.10932428,HOSPITAL EXTENSION CLINIC
271,STATEN ISLAND,40.62262016,-74.14456081,COMPOST
272,STATEN ISLAND,40.6422941,-74.09916287,"MULTI-DISCIPL, PERF & NON-PERF"
273,STATEN ISLAND,40.53653454,-74.23955736,TOW TRUCK COMPANY
274,STATEN ISLAND,40.581618,-74.195437,PUBLIC SAFETY FACILITY
275,STATEN ISLAND,40.64715805,-74.07864019,COMMERCIAL GARAGE AND PARKING LOT
276,STATEN ISLAND,40.57291279,-74.11389216,DAY CARE
277,STATEN ISLAND,40.62492213,-74.15694558,CHILD HEALTH CENTER
278,STATEN ISLAND,40.57715506,-74.10017774,YOUTH RECREATIONAL SERVICES/YOUTH ATHLETIC LEAGUES
279,STATEN ISLAND,40.64553206,-74.07825099,DROP-IN CENTERS
280,STATEN ISLAND,40.63000074,-74.11054771,CITY COUNCIL AWARDS
281,STATEN ISLAND,40.58223133,-74.09806264,LICENSED PRIVATE SCHOOLS
282,STATEN ISLAND,40.59876564,-74.1808803,TOW TRUCK COMPANY
283,STATEN ISLAND,0,0,OUTPATIENT CLINIC
284,STATEN ISLAND,40.54253874,-74.16277483,DAY CARE
285,STATEN ISLAND,40.63570748,-74.10590224,HOSPITAL
286,STATEN ISLAND,40.523574,-74.224938,PUBLIC PARK AND RIDE LOT
287,STATEN ISLAND,40.59122847,-74.15755452,SATELLITE SITE FOR STUDENTS WITH DISABILITIES
288,STATEN ISLAND,40.53378516,-74.20012983,UNDEVELOPED
289,STATEN ISLAND,40.62047947,-74.08088476,ADOLESCENT LITERACY
290,STATEN ISLAND,40.52979149,-74.18764473,ELEMENTARY SCHOOL - PUBLIC
291,STATEN ISLAND,40.64405973,-74.07804066,COMMERCIAL PARKING LOT
292,STATEN ISLAND,40.61391226,-74.11620934,DOE UNIVERSAL PRE-K
293,STATEN ISLAND,40.63968701,-74.07959189,DOE UNIVERSAL PRE-K
294,STATEN ISLAND,40.64169385,-74.11556063,TOW TRUCK COMPANY
295,STATEN ISLAND,40.580979,-74.091523,PUMPING STATION
296,STATEN ISLAND,40.63526428,-74.13278074,820 RESIDENTIAL REINTEGRATION
297,STATEN ISLAND,40.61104202,-74.08362776,ELEMENTARY SCHOOL - PUBLIC
298,STATEN ISLAND,40.54116828,-74.16259112,DAY CARE
299,STATEN ISLAND,40.593641,-74.094414,TEXTILES
300,STATEN ISLAND,40.60533546,-74.17941084,SCHOOL'S OUT NEW YORK CITY (SONYC)
301,STATEN ISLAND,40.64326724,-74.07756163,FEEDING SITE
302,STATEN ISLAND,40.51218994,-74.22243431,USDA COMMUNITY ELIGIBILITY OPTION
303,STATEN ISLAND,40.55879264,-74.18142063,STATE FOREST
304,STATEN ISLAND,40.624551,-74.120572,PUBLIC SAFETY FACILITY
305,STATEN ISLAND,40.62923159,-74.17684006,TIDAL WETLAND
306,STATEN ISLAND,40.5910651,-74.06705286,ELEMENTARY SCHOOL - NON-PUBLIC
307,STATEN ISLAND,40.53102,-74.237981,MTA BUS DEPOT
308,STATEN ISLAND,40.52322068,-74.18617432,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC
309,STATEN ISLAND,40.57255045,-74.14308628,EARLY EDUCATION PROGRAM
310,STATEN ISLAND,40.62863121,-74.10721794,SUMMER ONLY FEEDING SITE
311,STATEN ISLAND,40.627483,-74.200888,PORT OR MARINE TERMINAL
312,STATEN ISLAND,40.60289272,-74.09194713,COMPASS ELEMENTARY
313,STATEN ISLAND,40.54746661,-74.1522948,DOE UNIVERSAL PRE-K
314,STATEN ISLAND,40.61312857,-74.06911937,DOE UNIVERSAL PRE-K
315,STATEN ISLAND,40.63481055,-74.07700108,GED-ALTERNATIVE HIGH SCHOOL EQUIVALENCY PREP PROGRAMS
316,STATEN ISLAND,40.58878065,-74.16514453,PRE-K CENTER
317,STATEN ISLAND,40.63728551,-74.16111671,SUMMER ONLY FEEDING SITE
318,STATEN ISLAND,40.56578083,-74.18361268,SATELLITE SITE FOR STUDENTS WITH DISABILITIES
319,STATEN ISLAND,40.636637,-74.158688,TEXTILES
320,STATEN ISLAND,40.632155,-74.127625,TRANSPORTATION FACILITY
321,STATEN ISLAND,40.64287472,-74.07714713,MEDIATION SERVICES
322,STATEN ISLAND,40.6399948,-74.07584446,EARLY EDUCATION PROGRAM
323,STATEN ISLAND,40.59740278,-74.08649826,SCHOOL BASED CHILD CARE - PRESCHOOL
324,STATEN ISLAND,40.57560209,-74.08389091,PRE-K CENTER
325,STATEN ISLAND,40.57126844,-74.14592332,HISTORICAL SOCIETIES
326,STATEN ISLAND,40.58475966,-74.08604676,OUTPATIENT CLINIC
327,STATEN ISLAND,40.63094524,-74.08865812,SPECIAL DEMO - CITY COUNCIL-OPWDD
328,STATEN ISLAND,40.61338462,-74.08809859,MUSIC
329,STATEN ISLAND,40.540471,-74.179547,PUBLIC PARK AND RIDE LOT
330,STATEN ISLAND,40.59242614,-74.15860649,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC
331,STATEN ISLAND,40.63906533,-74.08776067,SUMMER ONLY FEEDING SITE
332,STATEN ISLAND,40.565808,-74.161914,SOLID WASTE LANDFILL
333,STATEN ISLAND,40.51627791,-74.22270911,STATE FOREST
334,STATEN ISLAND,40.611369,-74.088903,TEXTILES
335,STATEN ISLAND,40.58371709,-74.08712739,DIAGNOSTIC AND TREATMENT CENTER
336,STATEN ISLAND,40.55089981,-74.23296402,CONSTRUCTION AND DEMOLITION PROCESSING
337,STATEN ISLAND,40.6407911,-74.16633808,WASTE OIL STORAGE
338,STATEN ISLAND,40.51534435,-74.24420596,TOW TRUCK COMPANY
339,STATEN ISLAND,40.64302975,-74.07558024,COMPOST
340,STATEN ISLAND,40.56816501,-74.11623477,SUMMER ONLY FEEDING SITE
341,STATEN ISLAND,40.635816,-74.144188,RAIL LINE
342,STATEN ISLAND,40.631273,-74.199974,PORT OR MARINE TERMINAL
343,STATEN ISLAND,40.6388426,-74.12039558,STATE HISTORIC PLACE
344,STATEN ISLAND,40.612554,-74.158213,TEXTILES
345,STATEN ISLAND,40.64147293,-74.09208479,STATE HISTORIC PLACE
346,STATEN ISLAND,40.62239034,-74.08426647,LICENSED PRIVATE SCHOOLS
347,STATEN ISLAND,40.644666,-74.077474,POLICE STATION
348,STATEN ISLAND,0,0,MUSIC
349,STATEN ISLAND,40.58245447,-74.09011826,SUMMER ONLY FEEDING SITE
350,STATEN ISLAND,40.63000074,-74.11054771,PROGRAMS FOR PEOPLE WITH DISABILITIES
